RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0045,,SUPREME,HINGE BUSH CTR A,POM,F20-03_white,0.0014,0.01,30,120,4
0.0045,,SUPREME,AR HINGE BUSH,POM,F20-03_white,0.0014,0.01,30,120,4
0.0045,,SUPREME,HINGE BUSH,POM,F20-03_white,0.0014,0.0155,40,90,8
0.003,,SUPREME,HR LOCK PLATE,PP,ID-1088,0.0023,0.0122,50,72,4
0.0045,,SUPREME,HINGE BUSH OTR,POM,F20-03_white,0.0014,0.01,30,120,4
0.0044,SU2I,TOPRUN,LEVER ASY-RR BACK LATCH - NNB,PA6,LS900 NNB,0.046,0.0964,40,90,2
0.0044,SU2I FL,TOPRUN,LEVER ASY-RR BACK LATCH - WDN,PA6,LS900 WDN,0.046,0.0964,40,90,2
0.0044,SU2I,TOPRUN,LEVER-RR BACK LATCH - UUG,PA6,LS900 UUG,0.046,0.0964,40,90,2
0.0044,SU2I FL,TOPRUN,LEVER-RR BACK LATCH - YGN,PA6,LS900 YGN,0.046,0.0964,40,90,2
0.0044,SU2I,TOPRUN,LEVER-RR BACK LATCH - T9Y,PA6,LS900 T9Y,0.046,0.0964,40,90,2
0.01,SU2I,TOPRUN,HOUSING ASSY NNB,PA6,LS900 NNB,0.054,0.118,40,90,2
0.01,SU2I FL,TOPRUN,HOUSING ASSY YGN,PA6,LS900 YGN,0.054,0.118,40,90,2
0.01,SU2I FL,TOPRUN,HOUSING ASSY WDN,PA6,LS900 WDN,0.054,0.118,40,90,2
0.01,SU2I FL,TOPRUN,HOUSING ASSY UUG,PA6,LS900 UUG,0.054,0.118,36,100,2
0.01,SU2I FL,TOPRUN,HOUSING ASSY T9Y,PA6,LS900 T9Y,0.054,0.118,36,100,2
0.0057,SU2I,TOPRUN,CAP-FOLD'G LEVER BEZEL - NNB,PA6,LS900 NNB,0.0009,0.0131,30,120,8
0.0057,SU2I FL,TOPRUN,CAP-FOLD'G LEVER BEZEL - WDN,PA6,LS900 WDN,0.0009,0.0131,30,120,8
0.0057,SU2I FL,TOPRUN,CAP-FOLD'G LEVER BEZEL - T9Y,PA6,LS900 T9Y,0.0009,0.0131,30,120,8
0.0056,SU2I FL,TOPRUN,CAP-FOLD'G LEVER BEZEL - YGN,PA6,LS900 YGN,0.0009,0.013,30,120,8
0.0056,SU2I,TOPRUN,CAP-FOLD'G LEVER BEZEL - UUG,PA6,LS900 UUG,0.0009,0.013,30,120,8
0.0065,QXI,TOPRUN,QXI RECLINER_NNB_LH,PP,HP310 NNB,0.037,0.0435,40,90,1
0.0065,QXI,TOPRUN,QXI RECLINER_NNB_RH,PP,HP310 NNB,0.037,0.0435,40,90,1
0.0065,QXI,TOPRUN,QXI RECLINER_T9Y_LH,PP,HP31 T9Y,0.037,0.0435,40,90,1
0.0065,QXI,TOPRUN,QXI RECLINER_T9Y_RH,PP,HP31 T9Y,0.037,0.0435,40,90,1
0.0065,QXI,TOPRUN,QXI RECLINER_NBY_LH,PP,HP31 NBY,0.037,0.0435,40,90,1
0.0065,QXI,TOPRUN,QXI RECLINER_NBY_RH,PP,HP31 NBY,0.037,0.0435,40,90,1
0.0052,SU2I,TOPRUN,SU2I RECLINER_NNB_LH,PP,HP310 NNB,0.046,0.0512,45,80,1
0.0052,SU2I,TOPRUN,SU2I RECLINER_NNB_RH,PP,HP310 NNB,0.046,0.0512,45,80,1
0.0104,SU2I FL,TOPRUN,SU2I RECLINER_WDN_LH 2,PP,HP310 WDN,0.046,0.1024,45,80,2
0.0104,SU2I FL,TOPRUN,SU2I RECLINER_YGN_LH 2,PP,HP310 YGN,0.046,0.1024,45,80,2
0.0104,SU2I FL,TOPRUN,SU2I RECLINER_UMG_LH 2,PP,HP310 UMG,0.046,0.1024,45,80,2
0.0104,SU2I FL,TOPRUN,SU2I RECLINER_YGN_RH 2,PP,HP310 YGN,0.046,0.1024,45,80,2
0.0104,SU2I,TOPRUN,SU2I RECLINER_NNB_LH 2,PP,HP310 NNB,0.046,0.1024,45,80,2
0.0104,SU2I,TOPRUN,SU2I RECLINER_NNB_RH 2,PP,HP310 NNB,0.046,0.1024,45,80,2
0.0052,SU2I FL,TOPRUN,SU2I RECLINER_WDN_LH,PP,HP310 WDN,0.046,0.0512,45,80,1
0.0052,SU2I FL,TOPRUN,SU2I RECLINER_WDN_RH,PP,HP310 WDN,0.046,0.0512,45,80,1
0.0052,SU2I,TOPRUN,SU2I RECLINER_UMG_LH,PP,HP310 UMG,0.046,0.0512,45,80,1
0.0052,SU2I,TOPRUN,SU2I RECLINER_UMG_RH,PP,HP310 UMG,0.046,0.0512,45,80,1
0.0052,SU2I FL,TOPRUN,SU2I RECLINER_YGN_LH,PP,HP310 UMG,0.046,0.0512,45,80,1
0.0052,SU2I FL,TOPRUN,SU2I RECLINER_YGN_RH,PP,HP310 YGN,0.045,0.0502,45,80,1
0.0023,PS7I,TOPRUN,PS7I 2ND SEAT RECLINER_NNB_LH,PP,HP310 NNB,0.0475,0.0498,65,55,1
0.0023,PS7I,TOPRUN,PS7I 2ND SEAT RECLINER_NNB_RH,PP,HP310 NNB,0.0475,0.0498,65,55,1
0.0023,PS7I,TOPRUN,PS7I 2ND SEAT RECLINER_WDN_LH,PP,HP310 WDN,0.0475,0.0498,65,55,1
0.0023,PS7I,TOPRUN,PS7I 2ND SEAT RECLINER_WDN_RH,PP,HP310 WDN,0.0475,0.0498,65,55,1
0.0045,PS7I,TOPRUN,BLANKING ASSY – USB LH  NNB,PP,HT940SU2I NNB,0.0061,0.0168,32,113,2
